Courses,1A,1B,1C,1D,2A,2B,2C,2D,Outside
ACAL-12---,,,,,AP CALCULUS AB 12 external credential,,,,
ACSC-2A---,,,,,AP COMPUTER SCIENCE A 12,,,,
AELC-12---,AP ENGLISH LITERATURE & COMPOSITION 12,,,,,,,,
APHM-12---,AP PHYSICS C (MECHANICS) 12 external credential,,,,,,,,
MAC--11---,ACCOUNTING 11,,,,ACCOUNTING 11,,ACCOUNTING 11,,
MACC-12---,,,,,ACCOUNTING 12,,,,
MACLV11---,,,,ACTIVE LIVING 11,,ACTIVE LIVING 11,,,
MACLV11G--,,,,,,,ACTIVE LIVING 11 Girls,,
MACLV12---,,,,ACTIVE LIVING 12,,ACTIVE LIVING 12,,,
MACLV12G--,,,,,,,ACTIVE LIVING 12 Girls,,
MADD-09---,,ADST - Drafting 9,ADST - Drafting 9,ADST - Drafting 9,,ADST - Drafting 9,ADST - Drafting 9,,
MADEM10---,,,,,,,ADST ? ENTREPRENEURSHIP AND MARKETING 10,ADST ? ENTREPRENEURSHIP AND MARKETING 10,
MADER09---,,,,,,ADST - Electronics and Robotics,ADST - Electronics and Robotics,ADST - Electronics and Robotics,
MADFS09---,,,,,,ADST - Food Studies 9,ADST - Food Studies 9,ADST - Food Studies 9,
MADGE09D--,,,,,,,,ADST 9 - General Exploratns Design Innov & Inquiry,
MADGE09I--,,,,,,,,INCLUSIVE INTRODUCTION TO TRADE SKILLS 9,
MADIT09---,,,,,,ADST-Information and Communications Technologies 9,ADST-Information and Communications Technologies 9,ADST-Information and Communications Technologies 9,
MADW-09---,,,,,,ADST - Woodwork 9,ADST - Woodwork 9,ADST - Woodwork 9,
MAE--09---,,,,ARTS EDUCATION 9,,ARTS EDUCATION 9,ARTS EDUCATION 9,ARTS EDUCATION 9,
MATPH12---,ANATOMY AND PHYSIOLOGY 12,,ANATOMY AND PHYSIOLOGY 12,ANATOMY AND PHYSIOLOGY 12,ANATOMY AND PHYSIOLOGY 12,ANATOMY AND PHYSIOLOGY 12,ANATOMY AND PHYSIOLOGY 12,,
MBIT-11,INTRODUCTORY ITALIAN 11,,,,,,,,
MCALC12---,,,,,CALCULUS 12,CALCULUS 12,,,
MCH--11---,CHEMISTRY 11,CHEMISTRY 11,CHEMISTRY 11,CHEMISTRY 11,,CHEMISTRY 11,,,
MCH--12---,,CHEMISTRY 12,CHEMISTRY 12,CHEMISTRY 12,CHEMISTRY 12,CHEMISTRY 12,,CHEMISTRY 12,
MCLC-12---,,,,,,,,,CAREER LIFE CONNECTIONS
MCLE-10---,,CAREER LIFE EDUCATION 10,CAREER LIFE EDUCATION 10,CAREER LIFE EDUCATION 10,CAREER LIFE EDUCATION 10,CAREER LIFE EDUCATION 10,CAREER LIFE EDUCATION 10,CAREER LIFE EDUCATION 10,
MCLE-10--L,,,,CAREER LIFE EDUCATION 10 Linear,,,,CAREER LIFE EDUCATION 10 Linear,
MCMCC11--L,,,,,,,,,CHORAL MUSIC 11: CONCERT CHOIR Linear
MCMCC12--L,,,,,,,,,CHORAL MUSIC 12: CONCERT CHOIR Linear
MCMCL12---,COMPARATIVE CULTURES 12,,COMPARATIVE CULTURES 12,,,COMPARATIVE CULTURES 12,,,
