ID,Name,Base Terms,Max Enrollment,Priority,Sections
ACAL-12---,AP CALCULUS AB 12 external credential,2,29,10,1
ACSC-2A---,AP COMPUTER SCIENCE A 12,2,24,10,1
AELC-12---,AP ENGLISH LITERATURE & COMPOSITION 12,2,24,10,1
APHM-12---,AP PHYSICS C (MECHANICS) 12 external credential,2,23,10,1
ASTA-12---,AP STATISTICS 12,1,29,10,1
MAC--11---,ACCOUNTING 11,2,29,50,3
MACC-12---,ACCOUNTING 12,2,29,50,1
MACLV11---,ACTIVE LIVING 11,2,29,50,2
MACLV11G--,ACTIVE LIVING 11 Girls,2,29,50,1
MACLV12---,ACTIVE LIVING 12,2,29,50,2
MACLV12G--,ACTIVE LIVING 12 Girls,2,29,50,1
MADD-09---,ADST - Drafting 9,2,24,50,5
MADEM10---,ADST ? ENTREPRENEURSHIP AND MARKETING 10,2,29,50,2
MADER09---,ADST - Electronics and Robotics,2,24,50,3
MADFS09---,ADST - Food Studies 9,2,23,50,3
MADGE09D--,ADST 9 - General Exploratns Design Innov & Inquiry,2,24,50,1
MADGE09I--,INCLUSIVE INTRODUCTION TO TRADE SKILLS 9,2,24,50,1
MADIT09---,ADST-Information and Communications Technologies 9,2,24,50,4
MADW-09---,ADST - Woodwork 9,2,21,50,3
MAE--09---,ARTS EDUCATION 9,2,29,50,4
MATPH12---,ANATOMY AND PHYSIOLOGY 12,2,23,35,6
MBIT-11,INTRODUCTORY ITALIAN 11,2,29,15,1
MCALC12---,CALCULUS 12,2,29,20,3
MCH--11---,CHEMISTRY 11,2,23,20,8
MCH--12---,CHEMISTRY 12,2,23,35,6
MCLC-12---,CAREER LIFE CONNECTIONS,2,20,50,2
MCLC-12--L,CAREER LIFE CONNECTIONS Linear,1,300,0,2
MCLE-10---,CAREER LIFE EDUCATION 10,2,29,50,8
MCLE-10--L,CAREER LIFE EDUCATION 10 Linear,1,29,10,1
MCMCC11--L,CHORAL MUSIC 11: CONCERT CHOIR Linear,1,50,50,1
MCMCC12--L,CHORAL MUSIC 12: CONCERT CHOIR Linear,1,50,50,1
MCMCL12---,COMPARATIVE CULTURES 12,2,24,20,3
MCMPR11---,COMPUTER PROGRAMMING 11,2,24,50,2
MCMPR11W--,WEB DEVELOPMENT,2,24,50,1
MCMPR12W--,WEB DEVELOPMENT 12,2,24,50,2
MCMPS10---,COMPOSITION 10,2,24,20,2
MCMPS10C--,COMPOSITION 10 Challenge,2,24,10,2
MCMPS11---,COMPOSITION 11,2,24,20,5
MCSTU10---,ADST ? COMPUTER STUDIES 10,2,24,50,1
MCTWR10---,CREATIVE WRITING 10,2,24,30,5
MCTWR11---,CREATIVE WRITING 11,2,24,20,3
