,1A,1B,1C,1D,2A,2B,2C,2D,3A,3B,3C,3D,3E,3F,3G,3H,3I,3J,3K,3L,3M
ACAL-12---,1,,,,,,,,,,,,,,,,,,,,
ACSC-2A---,1,1,,,,,,,,,,,,,,,,,,,
AELC-12---,1,1,1,,,,,,,,,,,,,,,,,,
APHM-12---,1,1,1,1,,,,,,,,,,,,,,,,,
MAC--11---,,,,1,1,1,1,1,,,,,,,,,,,,,
MACC-12---,,,1,1,1,1,1,1,,,,,,,,,,,,,
MACLV11---,,,,,1,1,1,,,,,,,,,,,,,,
MACLV11G--,,,1,,,1,1,,,,,,,,,,,,,,
MACLV12---,,1,1,1,1,1,1,1,,,,,,,,,,,,,
MACLV12G--,,,,1,1,1,,,,,,,,,,,,,,,
MADD-09---,,,,,1,1,1,1,,,,,,,,,,,,,
MADEM10---,,,1,,1,1,1,1,,,,,,,,,,,,,
MADER09---,,,,,,1,1,1,,,,,,,,,,,,,
MADFS09---,,,,,,1,1,1,,,,,,,,,,,,,
MADGE09D--,,,,,,1,1,1,,,,,,,,,,,,,
MADGE09I--,,,,,,1,1,1,,,,,,,,,,,,,
MADIT09---,,,,,,1,1,1,,,,,,,,,,,,,
MADW-09---,,,,,,,1,1,,,,,,,,,,,,,
MAE--09---,,,,1,,1,1,1,,,,,,,,,,,,,
MATPH12---,,1,1,1,1,1,1,1,,,,,,,,,,,,,
MBIT-11,1,1,,,,,,,,,,,,,,,,,,,
MCALC12---,1,1,1,1,,,,,,,,,,,,,,,,,
MCH--11---,1,1,1,1,1,1,,,,,,,,,,,,,,,
MCH--12---,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
MCLC-12---,,,1,1,1,,,,,,,,,,,,,,,,
MCLE-10---,,,,1,1,1,1,1,,,,,,,,,,,,,
MCLE-10--L,1,1,,,,,,,,,,,,,,,,,,,
MCMCC11--L,,,,,,,,,1,,,,,,,,,,,,
MCMCC12--L,,,,,,,,,1,,,,,,,,,,,,
MCMCL12---,1,1,1,1,1,,,,,,,,,,,,,,,,
MCMPR11W--,,,1,,1,1,1,,,,,,,,,,,,,,
MCMPR12W--,,,,,,1,1,1,,,,,,,,,,,,,
MCMPS10---,1,1,1,,,,,,,,,,,,,,,,,,
MCMPS10C--,1,,,,,,,,,,,,,,,,,,,,
MCMPS11---,1,1,1,1,,1,,,,,,,,,,,,,,,
MCSTU10---,,,,,1,1,1,1,,,,,,,,,,,,,
MCTWR11---,1,1,1,1,1,,,,,,,,,,,,,,,,
MDCF-10---,,,,1,1,,1,1,,,,,,,,,,,,,
MDCF-11---,1,,,1,1,,,1,,,,,,,,,,,,,
MDCF-12---,1,,1,,1,,1,,,,,,,,,,,,,,
MDCOM11C--,,,,,1,1,1,,,,,,,,,,,,,,
MDMD-12D--,,1,,1,1,1,1,1,,,,,,,,,,,,,
MDNC-09C-L,,,,,,,,,1,,,,,,,,,,,,
MDNC-09F--,,,,,,,1,1,,,,,,,,,,,,,
MDNC-09M-L,,,,,,,,,1,1,,,,,,,,,,,
MDNC-09PT-,1,,,,,,,,,,,,,,,,,,,,
MDNC-10--L,,,,,,,,,1,,,,,,,,,,,,
MDNC-11--L,,,,,,,,,1,1,,,,,,,,,,,
MDNC-12--L,,,,,,,,,1,,,,,,,,,,,,
MDNCM10--L,,,,,,,,,1,1,,,,,,,,,,,
MDNCM11--L,,,,,,,,,,1,1,,,,,,,,,,
MDNCM12--L,,,,,,,,,1,1,,,,,,,,,,,
MDNCN11---,,,,,,1,,1,,,,,,,,,,,,,
MDNCN12---,,,,,1,,,,,,,,,,,,,,,,
MDNTP10---,1,,,,,,,,,,,,,,,,,,,,
MDNTP11---,1,,,,,,,,,,,,,,,,,,,,
MDNTP12---,1,,,,,,,,,,,,,,,,,,,,
MDR--09---,,,,,,,1,1,,,,,,,,,,,,,
